,0
0,13.716207
1,17.717869
2,53.01134
3,18.935406
4,35.521584
5,13.110175
6,49.674095
7,37.168427
8,30.560104
9,48.010506
10,25.91668
11,16.477417
12,45.540245
13,29.129856
14,50.270737
15,12.866241
16,26.402098
17,6.0024395
18,34.113297
19,61.035408
20,56.175343
21,14.791414
22,44.306953
23,53.702194
24,28.65638
25,35.310776
26,70.805016
27,28.023859
28,25.385868
29,17.5591
30,41.893032
31,65.04866
32,55.596786
33,38.458588
34,45.490074
35,52.298954
36,12.284826
37,9.483762
38,23.362179
39,28.524004
40,10.3022
41,28.509502
42,67.45016
43,63.764267
44,38.325615
45,42.70256
46,24.029331
47,67.61891
48,32.276783
49,21.643232
50,40.0061
51,36.483715
52,16.117039
53,10.399674
54,49.280716
55,16.233568
56,51.189648
57,41.4511
58,63.116863
59,16.177666
60,8.785411
61,45.046486
62,38.51525
63,30.717482
64,17.511019
65,16.641958
66,50.849083
67,46.979515
68,45.449657
69,37.753513
70,37.625706
71,25.055998
72,29.271877
73,37.10301
74,29.1169
75,12.310443
76,31.337132
77,12.038843
78,38.73818
79,48.695328
80,14.04839
81,35.991997
82,47.357403
83,34.960762
84,35.018288
85,20.237234
86,14.67266
87,47.93814
88,14.618332
89,19.354786
90,28.110119
91,62.708256
92,22.190464
93,14.48918
94,27.71744
95,20.181623
96,31.198881
97,23.409527
98,24.228937
99,6.527136
100,11.530352
101,6.4575357
102,34.75164
103,35.682922
104,14.366719
105,22.313671
106,7.4817367
107,10.222233
108,23.966518
109,28.889095
110,26.668928
111,29.040558
112,17.463953
113,13.099579
114,52.664814
115,40.44826
116,47.16153
117,22.496393
118,25.521248
119,31.8089
120,25.644722
121,15.241992
122,72.760994
123,13.879878
124,13.395747
125,18.027151
126,28.634989
127,38.96332
128,33.5881
129,23.366806
130,38.313133
131,37.570282
132,26.473024
133,40.650475
134,61.94372
135,14.5354185
136,56.493942
137,10.916063
138,40.729626
139,55.424095
140,16.157461
141,28.578049
142,17.38204
143,60.0685
144,105.483826
145,74.79184
146,34.44595
147,16.864162
148,25.053772
149,12.03199
150,10.519597
151,57.809288
152,13.401748
153,40.023228
154,32.989204
155,11.917933
156,10.215838
157,38.143936
158,26.115175
159,31.928549
160,17.311066
161,8.6096
162,16.137283
163,34.926613
164,34.1171
165,36.395992
166,40.62736
167,37.322735
168,55.53248
169,32.509712
170,51.651257
171,31.084875
172,46.781857
173,18.687344
174,20.157324
175,38.035076
176,31.71632
177,7.0796275
178,17.574905
179,13.7504425
180,25.44308
181,36.0833
182,18.95139
183,13.528019
184,14.060394
185,13.954953
186,33.96466
187,24.904284
188,42.205597
189,36.00661
190,34.929733
191,25.512579
192,57.157974
193,21.78736
194,8.478787
195,36.741028
196,22.864855
197,17.590834
198,25.052662
199,52.63948
200,70.61673
201,27.794548
202,21.45524
203,32.569527
204,22.312548
205,60.946312
206,47.683372
207,26.778885
208,12.050695
209,19.133654
210,52.602715
211,31.773056
212,36.54543
213,49.3916
214,28.459106
215,12.145936
216,16.842363
217,16.590132
218,8.289683
219,53.851704
220,21.209356
221,17.874865
222,65.065384
223,58.443954
224,36.85804
225,2.654384
226,3.6358109
227,8.423318
228,21.838434
229,31.204483
230,44.660297
231,11.822571
232,11.06896
233,18.242662
234,14.043511
235,47.782722
236,17.309437
237,71.43418
238,23.353277
239,12.419478
240,34.69895
241,30.447697
242,29.007778
243,31.577044
244,16.319075
245,7.468626
246,32.24588
247,45.594673
248,11.877183
249,13.494325
250,19.811878
251,21.784319
252,9.372699
253,6.490098
254,14.395007
255,10.432751
256,3.8530297
257,1.9789014
258,26.713087
259,18.893173
260,52.710037
261,29.22968
262,22.809069
263,21.38732
264,10.324366
265,54.387146
266,34.42806
267,16.042643
268,14.964192
269,9.726469
270,19.035156
271,41.306797
272,28.597078
273,11.540569
274,35.455975
275,24.320173
276,18.550867
277,36.33525
278,14.81569
279,43.788937
280,7.5753694
