,0
0,154.02365
1,62.564297
2,125.360466
3,36.66927
4,30.09116
5,1.9192889
6,0.49595997
7,0.19470532
8,16.068642
9,86.52486
10,201.59671
11,152.07968
12,149.76276
13,101.12411
14,185.619
15,137.41248
16,5.3202963
17,24.822935
18,7.662348
19,3.4540935
20,54.139
21,97.965004
22,154.5414
23,148.76567
24,188.92445
25,206.09743
26,276.72177
27,98.217285
28,24.3221
29,10.263615
30,2.475794
31,17.707308
32,32.106792
33,33.46701
34,232.31514
35,240.73402
36,9.58175
37,78.94827
38,57.0806
39,39.99181
40,11.785151
41,17.62205
42,8.536395
43,11.431621
44,5.6794357
45,56.318687
46,189.24005
47,54.81236
48,26.595713
49,61.28547
50,103.47093
51,9.403409
52,5.341749
53,7.101017
54,4.713179
55,2.608839
56,41.83611
57,32.973507
58,124.30471
59,74.43139
60,122.059235
61,331.1282
62,155.83925
63,32.931545
64,25.250135
65,1.8357112
66,3.3829072
67,0.43320158
68,57.920986
69,11.009591
70,12.662742
71,34.750416
72,92.162796
73,101.18171
74,119.6281
75,12.026205
76,19.154291
77,6.279324
78,8.771636
79,0.521272
80,0.7881265
81,28.076668
82,56.959118
83,150.74327
84,120.12046
85,13.965595
86,24.160612
87,74.4785
88,36.84792
89,15.685657
90,3.419424
91,2.806783
92,2.38288
93,2.2462547
94,139.29965
95,93.54443
96,41.17529
97,54.09213
98,189.02072
99,30.137434
100,22.507471
101,10.191066
102,0.1351015
103,7.051159
104,60.295383
105,75.5766
106,40.92363
107,1.0795525
108,114.62709
109,79.20562
110,47.49268
111,27.147802
112,83.889694
113,5.3983126
114,4.3477564
115,6.163484
116,10.038307
117,10.720332
118,24.507727
119,28.687479
120,19.463686
121,50.034317
122,298.56717
123,28.626404
124,32.167633
125,13.772686
126,5.4884834
127,3.7718508
128,2.7271104
129,50.76842
130,34.803444
131,66.92413
132,50.897984
133,178.34134
134,85.73624
135,27.284826
136,4.7128587
137,23.686869
138,14.434899
139,2.5919483
140,1.0251198
141,68.35167
142,16.245592
143,192.15314
144,263.32303
145,167.93242
146,104.989845
147,45.651184
148,39.476643
149,41.467445
150,0.8663071
151,5.621264
152,0.8995279
153,33.00281
154,46.80479
155,80.130936
156,57.580055
157,126.777985
158,26.295418
159,49.452415
160,43.46917
161,3.635901
162,0.5991024
163,0.026282405
164,12.049289
165,23.55826
166,124.6499
167,94.916794
168,377.8036
169,33.60439
170,315.10406
171,94.20651
172,75.87914
173,39.119076
174,2.9892309
175,0.60757565
176,0.25650513
177,0.92894757
178,6.113448
179,179.78633
180,174.99638
181,204.8148
182,87.11404
183,75.52315
184,84.07541
185,7.963802
186,4.831305
187,1.8423903
188,7.337796
189,49.139977
190,119.301735
191,307.02023
192,289.03043
193,17.346756
194,26.784935
195,26.415365
196,11.856377
197,21.971693
198,5.4814267
199,7.7632294
200,13.345727
201,34.141468
202,125.84598
203,80.43884
204,236.64912
205,329.02243
206,121.4531
207,81.28847
208,122.67169
209,36.171696
210,3.864021
211,1.4479921
212,21.444725
213,22.11441
214,126.70266
215,61.04922
216,130.78392
217,170.40462
218,67.77879
219,54.890167
220,11.402006
221,10.87137
222,2.8900185
223,5.75389
224,2.9846773
225,22.88979
226,67.34025
227,18.021965
228,188.40698
229,245.20207
230,63.6404
231,56.245594
232,34.951336
233,12.543703
234,1.9607441
235,1.5435741
236,16.874146
237,77.81468
238,23.308773
239,26.35451
240,103.23238
241,131.50162
242,63.14729
243,68.78577
244,2.1961915
245,7.15083
246,5.6819158
247,0.20785141
248,10.647234
249,22.905897
250,132.81938
251,190.28667
252,75.673584
253,46.61835
254,78.01356
255,28.003456
256,26.602549
257,1.6975759
258,1.4450192
259,0.05043024
